sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,15,,良好,0.7,0.11,23,16,9,7,2,3.5,0.7,3.7,89,"2025/07/02 15:00:00",0.1,2.4,7,0,121.760056,25.129167,1
汐止,新北市,23,,良好,0.2,0.08,19,15,9,7,3,5.7,1.9,3.1,66,"2025/07/02 15:00:00",0,5.7,6,0,121.64081,25.06624,2
新店,新北市,15,,良好,0.8,0.08,18,16,7,3,2,3.7,1.3,3.7,127,"2025/07/02 15:00:00",0,2.1,7,0,121.537778,24.977222,4
土城,新北市,20,,良好,0.6,0.13,17,15,16,3,,,,2.1,118,"2025/07/02 15:00:00",0.1,4.5,12,0,121.451861,24.982528,5
板橋,新北市,14,,良好,0.7,0.14,18,15,10,0,4,7.9,3.2,2.8,59,"2025/07/02 15:00:00",0.1,,4,0,121.458667,25.012972,6
新莊,新北市,47,,良好,0.7,0.08,19,16,39,5,3,5.9,2.7,5.2,95,"2025/07/02 15:00:00",0.1,2.9,28,0,121.4325,25.037972,7
菜寮,新北市,17,,良好,0.9,0.13,20,18,14,3,4,6.3,1.8,4.7,86,"2025/07/02 15:00:00",0.1,3.1,10,0,121.481028,25.06895,8
林口,新北市,21,,良好,1.1,0.12,21,18,16,4,5,9.6,3.6,2.7,110,"2025/07/02 15:00:00",0.1,5.1,10,0,121.36548982,25.07798949,9
淡水,新北市,55,懸浮微粒,普通,,,21,18,68,11,,,,,,"2025/07/02 15:00:00",0,6.9,35,0,121.449239,25.1645,10
士林,臺北市,18,,良好,0.8,0.09,21,16,19,4,,,,3.1,142,"2025/07/02 15:00:00",0.1,2.4,11,0,121.51666356,25.10334003,11
中山,臺北市,33,,良好,0.7,0.17,15,12,21,7,6,12.3,6,3.9,60,"2025/07/02 15:00:00",0.2,6.7,20,0,121.526528,25.062361,12
萬華,臺北市,18,,良好,0.7,0.15,15,13,17,4,7,11.8,4.5,2.3,83,"2025/07/02 15:00:00",0.1,1.6,11,0,121.507972,25.046503,13
古亭,臺北市,18,,良好,0.7,0.08,18,15,17,0,3,5.5,2.3,3.4,69,"2025/07/02 15:00:00",0,1.6,11,0,121.529556,25.020608,14
松山,臺北市,21,,良好,0.9,0.1,15,12,10,6,5,9.7,4.5,2.2,56,"2025/07/02 15:00:00",0.1,5.1,10,0,121.578611,25.05,15
大同,臺北市,31,,良好,1.1,0.45,10,10,22,5,13,39.7,26.4,-,-,"2025/07/02 15:00:00",0.4,5.5,17,0,121.51342074,25.06331455,16
桃園,桃園市,21,,良好,1,0.14,19,16,12,6,7,12.3,4.5,4.3,66,"2025/07/02 15:00:00",0.1,5.1,9,1,121.30500531,24.9947107,17
大園,桃園市,30,,良好,0.8,0.14,24,19,20,6,7,12.4,4.6,6.2,86,"2025/07/02 15:00:00",0.1,3.2,18,1,121.20251473,25.06100357,18
觀音,桃園市,40,,良好,0.4,0.03,24,31,67,17,4,5.9,1.5,5.2,57,"2025/07/02 15:00:00",0,8.6,24,0,121.08283092,25.03556747,19
平鎮,桃園市,19,,良好,0,0.13,,20,,1,5,7.7,2.2,4,96,"2025/07/02 15:00:00",0.1,3.5,9,0,121.203986,24.952786,20
龍潭,桃園市,42,,良好,0.8,0.12,32,40,17,5,6,8,2,3.1,46,"2025/07/02 15:00:00",0.1,10.4,19,0,121.21645772,24.86400048,21
湖口,新竹縣,44,,良好,0.8,0.15,67,48,19,11,3,4.1,0.8,2.5,262,"2025/07/02 15:00:00",0.1,10.6,18,1,121.03886894,24.90009696,22
竹東,新竹縣,52,細懸浮微粒,普通,0.3,0.19,77,52,26,12,4,4.8,0.6,2,224,"2025/07/02 15:00:00",0.2,12.7,22,0,121.08895493,24.74091408,23
新竹,新竹市,44,,良好,1.9,0.17,59,47,21,10,6,7.7,1,2.7,250,"2025/07/02 15:00:00",0.1,11,18,1,120.97236752,24.8056356,24
頭份,苗栗縣,55,細懸浮微粒,普通,1.8,0.16,65,52,21,12,3,4.4,0.8,2.2,266,"2025/07/02 15:00:00",0.2,13.9,24,1,120.89869286,24.69690679,25
苗栗,苗栗縣,49,,良好,1.4,0.13,66,53,15,8,2,3.8,1.1,1.7,333,"2025/07/02 15:00:00",0.1,11.6,19,1,120.82011468,24.56499183,26
三義,苗栗縣,58,細懸浮微粒,普通,,,,43,,11,,,,2.1,283,"2025/07/02 15:00:00",0.1,15.1,27,1,120.75956754,24.38248443,27
豐原,臺中市,64,細懸浮微粒,普通,1.7,0.15,53,49,34,16,3,3.8,0.8,2.5,293,"2025/07/02 15:00:00",0.2,17.2,28,1,120.74252414,24.25699731,28
沙鹿,臺中市,66,細懸浮微粒,普通,1.5,0.12,40,47,22,9,4,5.7,1.7,2.3,294,"2025/07/02 15:00:00",0.2,18,33,1,120.568794,24.225628,29
大里,臺中市,76,細懸浮微粒,普通,1.3,0.21,70,56,28,21,5,6.3,0.7,2.4,265,"2025/07/02 15:00:00",0.2,21.8,33,1,120.67844444,24.09961111,30
忠明,臺中市,69,細懸浮微粒,普通,1.9,0.19,61,52,32,14,4,6.9,2.3,2.6,306,"2025/07/02 15:00:00",0.2,19,34,1,120.641092,24.151958,31
西屯,臺中市,72,細懸浮微粒,普通,1.2,0.14,64,53,34,19,3,4.7,1.2,2.6,336,"2025/07/02 15:00:00",0.2,20,40,1,120.616917,24.162197,32
彰化,彰化縣,62,細懸浮微粒,普通,1.2,0.23,48,44,20,11,5,6.4,1.1,2.6,345,"2025/07/02 15:00:00",0.2,16.5,26,1,120.541519,24.066,33
線西,彰化縣,69,細懸浮微粒,普通,1.1,0.13,40,50,17,8,2,1.8,0,3.3,352,"2025/07/02 15:00:00",0.2,19,36,1,120.469061,24.131672,34
二林,彰化縣,65,細懸浮微粒,普通,2,0.22,67,52,31,14,1,1.7,0.2,2.4,317,"2025/07/02 15:00:00",0.1,17.6,38,1,120.409653,23.925175,35
南投,南投縣,65,細懸浮微粒,普通,2.6,0.56,91,54,44,27,7,8.6,1.2,1.7,343,"2025/07/02 15:00:00",0.2,17.7,31,0,120.685306,23.913,36
斗六,雲林縣,57,細懸浮微粒,普通,2.1,0.2,73,53,46,22,3,4.9,1,3.1,321,"2025/07/02 15:00:00",0.1,14.8,27,1,120.544994,23.711853,37
崙背,雲林縣,66,細懸浮微粒,普通,2.1,0.22,66,48,44,27,3,4.1,0.6,2.2,310,"2025/07/02 15:00:00",0.1,17.9,34,1,120.348742,23.757547,38
新港,嘉義縣,60,細懸浮微粒,普通,1.8,0.13,48,44,39,13,4,6.2,1.7,2.6,303,"2025/07/02 15:00:00",0.1,15.8,37,1,120.345531,23.554839,39
朴子,嘉義縣,44,,良好,1,0.05,49,44,22,12,0,1.5,0.5,2.6,318,"2025/07/02 15:00:00",0,10.9,25,0,120.2478,23.46538,40
臺西,雲林縣,54,細懸浮微粒,普通,2.1,0.14,65,49,30,18,1,2.8,0.9,3.4,353,"2025/07/02 15:00:00",0.1,13.6,29,1,120.19933333,23.702175,41
嘉義,嘉義市,43,,良好,1,0.13,48,46,20,9,2,2.8,0.6,3.5,320,"2025/07/02 15:00:00",0.1,9.4,20,1,120.44125148,23.46477865,42
新營,臺南市,52,細懸浮微粒,普通,,0.11,46,44,26,11,2,3.2,0.8,3.1,254,"2025/07/02 15:00:00",0.1,13,26,1,120.31725,23.305633,43
善化,臺南市,47,,良好,0.4,0.11,53,48,17,12,4,6,1.3,2.7,243,"2025/07/02 15:00:00",0.1,11.7,24,0,120.29740529,23.11337642,44
安南,臺南市,44,,良好,0.5,0.12,41,48,18,8,1,2.8,1.6,3.3,244,"2025/07/02 15:00:00",0.2,10,22,0,120.2175,23.048197,45
臺南,臺南市,52,細懸浮微粒,普通,0.8,0.09,38,49,16,7,3,4.3,0.4,2.7,252,"2025/07/02 15:00:00",0.1,13,25,0,120.21947897,22.98928311,46
美濃,高雄市,43,,良好,0.7,0.14,57,46,21,8,3,2.9,0,1.9,268,"2025/07/02 15:00:00",0.1,10.1,26,0,120.530542,22.883583,47
橋頭,高雄市,43,,良好,0.7,0.07,37,40,16,6,1,1.9,0.5,4.3,256,"2025/07/02 15:00:00",0.1,10.7,18,1,120.305689,22.757506,48
仁武,高雄市,38,,良好,1,0.13,37,38,14,8,3,5,1.1,3.8,279,"2025/07/02 15:00:00",0.2,9.5,17,1,120.332631,22.689056,49
鳳山,高雄市,47,,良好,0.9,0.21,34,35,22,9,4,6.2,1.9,1.4,252,"2025/07/02 15:00:00",0.3,11.7,22,1,120.357422,22.628126,50
大寮,高雄市,49,,良好,0.7,0.11,27,31,33,12,8,10.1,1.9,1.9,259,"2025/07/02 15:00:00",0.1,12.2,29,0,120.425311,22.56413611,51
林園,高雄市,33,,良好,1.2,0.08,21,30,12,5,0,1.8,0.9,2.4,281,"2025/07/02 15:00:00",0,8,20,2,120.41175,22.4795,52
楠梓,高雄市,46,,良好,0.9,0.09,35,37,21,10,3,4,1,2.5,264,"2025/07/02 15:00:00",0.1,11.3,25,1,120.328289,22.733667,53
左營,高雄市,37,,良好,0.6,0.09,36,37,18,9,1,2.2,0.9,3.6,282,"2025/07/02 15:00:00",0.1,9.2,21,0,120.292917,22.674861,54
前金,高雄市,37,,良好,0.7,0.11,37,40,17,4,1,2.3,0.9,4.5,245,"2025/07/02 15:00:00",0.1,7.9,21,1,120.28676111,22.63390278,56
前鎮,高雄市,44,,良好,0.3,0.14,32,34,27,11,6,8.8,2.6,2,236,"2025/07/02 15:00:00",0.2,10.9,21,1,120.30833356,22.6044507,57
小港,高雄市,40,,良好,0.4,0.1,31,34,20,9,7,9.9,2.2,3.6,261,"2025/07/02 15:00:00",0.1,10,18,1,120.337736,22.565833,58
屏東,屏東縣,52,細懸浮微粒,普通,0.8,0.14,46,44,24,10,4,5,0.9,2.5,231,"2025/07/02 15:00:00",0.2,12.7,28,1,120.488033,22.673081,59
潮州,屏東縣,45,,良好,1.4,0.11,27,38,20,7,4,5.2,0.7,1.4,67,"2025/07/02 15:00:00",0.1,11.1,25,1,120.561175,22.523108,60
恆春,屏東縣,13,,良好,0.4,0.08,15,14,2,1,0,1.2,0.5,6.2,33,"2025/07/02 15:00:00",0,0.5,7,0,120.788928,21.958069,61
臺東,臺東縣,18,,良好,0.6,0.1,17,13,10,2,2,5.9,3.1,2.5,69,"2025/07/02 15:00:00",0.1,3.1,11,0,121.15045,22.755358,62
花蓮,花蓮縣,22,,良好,0,0.08,23,19,10,6,1,2.1,0.7,2.8,105,"2025/07/02 15:00:00",0.1,5.4,9,0,121.599769,23.971306,63
陽明,臺北市,16,,良好,1.2,0.06,22,17,11,6,1,2.6,0.8,,,"2025/07/02 15:00:00",0,3.2,8,1,121.529583,25.182722,64
宜蘭,宜蘭縣,22,,良好,0.6,0.1,22,17,8,7,,,,3.2,120,"2025/07/02 15:00:00",0.1,5.5,8,0,121.746394,24.747917,65
冬山,宜蘭縣,28,,良好,0.9,0.1,21,19,22,6,3,6.5,3,4.9,110,"2025/07/02 15:00:00",0.1,4.4,17,0,121.792928,24.632203,66
三重,新北市,38,,良好,0.5,0.53,9,8,18,10,16,50.5,33.9,-,-,"2025/07/02 15:00:00",0.6,7.8,15,0,121.493806,25.072611,67
中壢,桃園市,35,,良好,0.5,0.44,15,11,23,3,14,28.3,14.1,1.2,263,"2025/07/02 15:00:00",0.7,5.6,21,1,121.221667,24.953278,68
竹山,南投縣,58,細懸浮微粒,普通,1.6,0.16,75,48,44,21,3,4,0.4,2.4,294,"2025/07/02 15:00:00",0.1,15,30,1,120.677306,23.756389,69
永和,新北市,16,,良好,0.8,0.13,15,12,12,7,3,6.6,2.7,2.6,117,"2025/07/02 15:00:00",0.2,3.9,8,0,121.516306,25.017,70
復興,高雄市,42,,良好,0.2,0.06,34,37,10,9,3,6.3,2.3,1.7,277,"2025/07/02 15:00:00",0.1,10.5,15,1,120.312017,22.608711,71
埔里,南投縣,48,,良好,1,0.2,69,41,32,14,2,4,1.2,3.1,276,"2025/07/02 15:00:00",0.1,11.9,22,1,120.967903,23.968842,72
馬祖,連江縣,34,,良好,0.7,0.08,37,22,17,6,1,2.1,0.3,2.9,329,"2025/07/02 15:00:00",0.1,8.5,19,0,119.952724,26.153736,75
金門,金門縣,48,,良好,0.9,0.1,33,36,26,8,2,3.7,0.7,2.7,98,"2025/07/02 15:00:00",0.1,10.3,29,1,118.312256,24.432133,77
馬公,澎湖縣,30,,良好,1.1,0.11,46,29,16,9,2,2.9,0.8,2.6,0,"2025/07/02 15:00:00",0,5.9,18,0,119.566158,23.569031,78
關山,臺東縣,17,,良好,0.1,0.07,13,14,6,1,2,5.7,3.6,2.6,147,"2025/07/02 15:00:00",0,1.2,10,0,121.161933,23.045083,80
麥寮,雲林縣,53,細懸浮微粒,普通,2.5,0.16,64,50,25,18,2,4.2,1.5,3.6,343,"2025/07/02 15:00:00",0.1,13.2,31,2,120.251825,23.753506,83
富貴角,新北市,22,,良好,0.2,0.08,27,24,11,6,0,0.3,0,8.3,88,"2025/07/02 15:00:00",0,2.8,8,0,121.53656894,25.29681695,84
大城,彰化縣,64,細懸浮微粒,普通,2.5,0.18,58,45,26,16,2,2.2,0.1,1.8,250,"2025/07/02 15:00:00",0.1,17.3,33,1,120.26964167,23.85493056,85
員林,彰化縣,68,細懸浮微粒,普通,1.8,0.23,68,55,29,18,2,3.4,1.2,2.7,293,"2025/07/02 15:00:00",0.1,18.7,28,1,120.5631893,23.9615945,139
宜蘭（三星）,宜蘭縣,22,,良好,0.5,0.07,25,23,16,6,1,3.4,1.9,2.4,51,"2025/07/02 15:00:00",0,2.6,13,0,121.6565272,24.6757916,201
高雄（湖內）,高雄市,43,,良好,0.1,0.08,32,36,18,6,2,3.5,1.1,2.9,292,"2025/07/02 15:00:00",0.1,10.7,26,0,120.24535,22.87985556,202
南投（鹿谷）,南投縣,53,細懸浮微粒,普通,1.1,0.15,59,43,30,18,1,2.4,0.6,1,351,"2025/07/02 15:00:00",0.1,13.2,21,1,120.7944772,23.71867609,203
屏東（琉球）,屏東縣,24,,良好,0.1,0.1,15,17,12,5,0,2.2,1.3,2,321,"2025/07/02 15:00:00",0,5.9,10,0,120.37722,22.35222,204
台中市（和平區消防隊）,臺中市,55,細懸浮微粒,普通,0.3,0.27,59,43,28,17,4,5.4,0.9,1.8,301,"2025/07/02 15:00:00",0.2,13.8,26,0,120.883858,24.174592,310
新北(樹林),新北市,18,,良好,0.5,,23,19,13,0,7,12.6,5.2,0,339,"2025/07/02 15:00:00",0.1,1,9,0,121.38352778,24.94902778,311
臺南（南化）,臺南市,,,,,,,,,,,,,,,"2025/07/02 15:00:00",,,,0,120.44583156,23.04562013,312
屏東(枋山),屏東縣,28,,良好,0.1,0.06,22,30,11,2,,,,2.7,311,"2025/07/02 15:00:00",0,1.7,13,0,120.651472,22.260899,313
